	Reviewed by	Valid?	Terminology catalogue status	terminology name	acronym / shortname	access URL	domain	keywords	type of terminology	domain-specificity	main language	other language(s)	Variables	Units and dimensions	Terms for observable property	Terms for research object OoI 	terms for constraints	terms for matrix	terms for context	Supported by a model framework?	Terms for method description?	Terms for attribute values?	Properties related to nitrogen?	Alignment/connection to external concepts (selection)	could also align with?	Notes	Comments from meeting 18/08/2020	Further comments (author's name and date)
	Anne	yes	0	Ontology of Prokaryotic Phenotypic and Metabolic Characters	MICRO	http://www.obofoundry.org/ontology/micro.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN				yes					no								
	Anne	yes	0	Mammalian Phenotype Ontology	MP	http://www.obofoundry.org/ontology/mp.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN				yes					no								
	Anne	yes	0	Neuro Behavior Ontology	NBO	http://www.obofoundry.org/ontology/nbo.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	human and animal behaviors	ontology	narrow	EN				yes					no								
	Anne	yes	0	Ontology of Arthropod Circulatory Systems	OARCS	http://www.obofoundry.org/ontology/oarcs.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	arthropod circulatory system morphology	ontology	narrow	EN					yes				no								
	Anne	yes	1	Ontology of Biological Attributes	OBA	http://www.obofoundry.org/ontology/oba.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	broad	EN				yes					no								
	Anne	yes	0	Ontology of Microbial Phenotypes	OMP	http://www.obofoundry.org/ontology/omp.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	broad	EN				yes					no								
	Anne	yes	0	planaria ontology	PLANA	http://www.obofoundry.org/ontology/plana.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN					yes				no								
	Anne	yes	0	planarian phenotype ontology	PLANP	http://www.obofoundry.org/ontology/planp.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN				yes					no								
	Anne	yes	0	Porifera Ontology	PORO	http://www.obofoundry.org/ontology/poro.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no			yes				no								
	Anne	yes	0	Plant Phenology Ontology	PPO	http://www.obofoundry.org/ontology/ppo.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN				yes					no								
	Anne	yes	0	Spider Ontology	SPD	http://www.obofoundry.org/ontology/spd.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no			yes				no								
	Anne	yes	1	Uberon multi-species anatomy ontology	UBERON	http://www.obofoundry.org/ontology/uberon.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes; anatomy	ontology	broad	EN		yes			yes				no								
	Anne	yes	1	Unified phenotype ontology (uPheno)	UPHENO	http://www.obofoundry.org/ontology/upheno.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	broad	EN				yes					no								
	Anne	yes	1	Vertebrate trait ontology	VT	http://www.obofoundry.org/ontology/vt.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	broad	EN				yes					no								
	Anne	yes	0	C. elegans Gross Anatomy Ontology	WBBT	http://www.obofoundry.org/ontology/wbbt.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN					yes				no								
	Anne	yes	0	C. elegans phenotype	WBPHENOTYPE	http://www.obofoundry.org/ontology/wbphenotype.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN				yes					no								
	Anne	yes	0	Xenopus Phenotype Ontology	XPO	http://www.obofoundry.org/ontology/xpo.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN				yes					no								
	Anne	yes	0	Zebrafish Phenotype Ontology	ZP	http://www.obofoundry.org/ontology/zp.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN				yes					no								
	Anne	yes	0	Human phenotype ontology	HP	http://www.obofoundry.org/ontology/hp.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN				yes					no								
